id,City,State,Low estimate,Best Guess,High estimate,Source1
1,"Abilene, TX",TX,200,200,200,http://www.reporternews.com/story/news/local/2017/01/21/hundreds-march-abilene-city-hall-womens-rights/96858224/
2,"Accident, MD",MD,54,54,54,http://www.riverfronttimes.com/newsblog/2017/01/23/stranded-far-from-washington-dc-these-st-louis-women-marched-in-rural-maryland
3,"Adak, AK",AK,10,10,10,adn.com
4,"Adrian, MI",MI,150,150,150,http://www.lenconnect.com/news/20170122/marches-in-adrian-across-country-express-distaste-for-new-leader
5,"Ajo, AZ",AZ,250,250,250,https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2Fwomenactnow%2Fposts%2F316622398732847&width=500
6,"Alameda, CA",CA,8,8,8,FB
7,"Alamosa, CO",CO,350,350,350,https://twitter.com/zepol/status/823234973935239172
8,"Albany, CA",CA,500,500,500,https://twitter.com/ben_silverman/status/823032391841132545
9,"Albany, NY",NY,7000,7900,9000,http://www.timesunion.com/local/article/Albany-activists-Inaugurate-Resistance-on-10873758.php
10,"Alexandria, VA",VA,17,17,17,https://twitter.com/TinaPStacy/status/823226044643680257
11,"Albuquerque, NM",NM,3000,8400,15000,http://www.koat.com/article/thousands-fill-civic-plaza-for-womens-rally/8626736
12,"Alliance, NE",NE,100,125,150,eyewtiness onsite w/ headcount
13,"Almanor West, CA",CA,4,4,4,eyewitness; picture
14,"Alpine, TX",TX,96,96,96,https://twitter.com/sarahmvasquez/status/823189717659176960
15,"Amarillo, TX",TX,600,645,700,https://www.texastribune.org/2017/01/21/thousands-expected-participate-texas-womens-marche/
16,"Amelia Island, FL",FL,700,1000,1367,http://www.firstcoastnews.com/news/womens-march-makes-its-way-to-the-first-coast/389706372
17,"Anacortes, WA",WA,1200,1200,1200,http://www.goskagit.com/skagit/hundreds-participate-in-anacortes-women-s-march/article_4117590e-285b-565e-acd0-1ea4e7826160.html
18,"Anchorage, AK",AK,2000,2900,4000,https://www.adn.com/alaska-news/2017/01/21/large-crowd-attends-womens-march-on-anchorage-in-solidarity-with-national-events/
19,"Angola, IN",IN,24,42,60,http://wane.com/2017/01/21/womens-marches-in-allen-and-steuben-county-protest-trump/
20,"Ann Arbor, MI",MI,11000,11000,11000,http://www.mlive.com/news/ann-arbor/index.ssf/2017/01/more_than_6000_flood_streets_o.html
21,"Annapolis, MD",MD,1600,1600,1600,http://www.capitalgazette.com/news/annapolis/ph-ac-cn-annapolis-womens-march-0122-20170121-story.html
22,"Annville, PA",PA,30,30,30,http://www.ldnews.com/videos/news/2017/01/21/watch-voices-women's-march-annville/96901782/
23,"Appleton, WI",WI,3,3,3,http://www.sheboyganpress.com/story/news/local/2017/01/21/appleton-woman-stands-womens-march/96894178/
24,"Arden, DE",DE,40,45,50,onsite eyewitness via google form; did headcount
25,"Asbury Park, NJ",NJ,6000,6000,6000,https://twitter.com/JuliaJHobbs/status/822955160116793344
26,"Asheville, NC",NC,7000,8350,10000,http://wlos.com/news/local/photo-gallery-the-womens-march-on-asheville
